Title,sim_score,diff_score
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.100 Facenet512opencv0.700,0.83,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.150 Facenet512opencv0.650,0.84,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.200 Facenet512opencv0.600,0.84,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.250 Facenet512opencv0.550,0.84,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.300 Facenet512opencv0.500,0.84,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.350 Facenet512opencv0.450,0.85,0.10
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.400 Facenet512opencv0.400,0.85,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.450 Facenet512opencv0.350,0.85,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.500 Facenet512opencv0.300,0.86,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.550 Facenet512opencv0.250,0.86,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.600 Facenet512opencv0.200,0.86,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.650 Facenet512opencv0.150,0.86,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.100 Facenet512opencv0.650,0.83,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.150 Facenet512opencv0.600,0.83,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.200 Facenet512opencv0.550,0.84,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.500,0.84,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.450,0.84,0.09
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.400,0.85,0.09
