Title,sim_score,diff_score
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.100 Facenet512opencv0.700,0.68,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.150 Facenet512opencv0.650,0.68,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.200 Facenet512opencv0.600,0.67,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.250 Facenet512opencv0.550,0.67,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.300 Facenet512opencv0.500,0.66,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.350 Facenet512opencv0.450,0.66,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.400 Facenet512opencv0.400,0.65,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.450 Facenet512opencv0.350,0.65,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.500 Facenet512opencv0.300,0.64,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.550 Facenet512opencv0.250,0.64,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.600 Facenet512opencv0.200,0.63,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.650 Facenet512opencv0.150,0.63,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.100 Facenet512opencv0.650,0.66,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.150 Facenet512opencv0.600,0.66,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.200 Facenet512opencv0.550,0.65,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.500,0.65,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.450,0.64,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.400,0.64,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.400 Facenet512opencv0.350,0.63,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.450 Facenet512opencv0.300,0.63,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.500 Facenet512opencv0.250,0.62,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.550 Facenet512opencv0.200,0.62,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.600 Facenet512opencv0.150,0.61,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.100 Facenet512opencv0.600,0.64,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.150 Facenet512opencv0.550,0.64,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.200 Facenet512opencv0.500,0.63,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.250 Facenet512opencv0.450,0.63,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.300 Facenet512opencv0.400,0.62,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.350 Facenet512opencv0.350,0.62,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.400 Facenet512opencv0.300,0.61,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.450 Facenet512opencv0.250,0.61,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.500 Facenet512opencv0.200,0.60,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.550 Facenet512opencv0.150,0.60,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.100 Facenet512opencv0.550,0.62,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.150 Facenet512opencv0.500,0.61,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.200 Facenet512opencv0.450,0.61,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.250 Facenet512opencv0.400,0.60,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.300 Facenet512opencv0.350,0.60,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.350 Facenet512opencv0.300,0.59,0.07
