Title,sim_score,diff_score
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.100 Facenet512opencv0.700,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.150 Facenet512opencv0.650,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.200 Facenet512opencv0.600,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.250 Facenet512opencv0.550,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.300 Facenet512opencv0.500,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.350 Facenet512opencv0.450,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.400 Facenet512opencv0.400,0.45,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.450 Facenet512opencv0.350,0.44,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.500 Facenet512opencv0.300,0.44,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.550 Facenet512opencv0.250,0.44,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.600 Facenet512opencv0.200,0.44,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.100 Facenet512fastmtcnn0.650 Facenet512opencv0.150,0.44,0.20
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.100 Facenet512opencv0.650,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.150 Facenet512opencv0.600,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.200 Facenet512opencv0.550,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.500,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.450,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.400,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.400 Facenet512opencv0.350,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.450 Facenet512opencv0.300,0.44,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.500 Facenet512opencv0.250,0.43,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.550 Facenet512opencv0.200,0.43,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.150 Facenet512fastmtcnn0.600 Facenet512opencv0.150,0.43,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.100 Facenet512opencv0.600,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.150 Facenet512opencv0.550,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.200 Facenet512opencv0.500,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.250 Facenet512opencv0.450,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.300 Facenet512opencv0.400,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.350 Facenet512opencv0.350,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.400 Facenet512opencv0.300,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.450 Facenet512opencv0.250,0.43,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.500 Facenet512opencv0.200,0.43,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.200 Facenet512fastmtcnn0.550 Facenet512opencv0.150,0.42,0.19
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.100 Facenet512opencv0.550,0.42,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.150 Facenet512opencv0.500,0.42,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.200 Facenet512opencv0.450,0.42,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.250 Facenet512opencv0.400,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.300 Facenet512opencv0.350,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.350 Facenet512opencv0.300,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.400 Facenet512opencv0.250,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.450 Facenet512opencv0.200,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.250 Facenet512fastmtcnn0.500 Facenet512opencv0.150,0.42,0.18
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.100 Facenet512opencv0.500,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.150 Facenet512opencv0.450,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.200 Facenet512opencv0.400,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.250 Facenet512opencv0.350,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.300 Facenet512opencv0.300,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.350 Facenet512opencv0.250,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.400 Facenet512opencv0.200,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.300 Facenet512fastmtcnn0.450 Facenet512opencv0.150,0.41,0.17
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.100 Facenet512opencv0.450,0.41,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.150 Facenet512opencv0.400,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.200 Facenet512opencv0.350,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.250 Facenet512opencv0.300,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.300 Facenet512opencv0.250,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.350 Facenet512opencv0.200,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.400 Facenet512opencv0.150,0.40,0.16
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.100 Facenet512opencv0.400,0.40,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.150 Facenet512opencv0.350,0.40,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.200 Facenet512opencv0.300,0.39,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.250 Facenet512opencv0.250,0.39,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.300 Facenet512opencv0.200,0.39,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.350 Facenet512opencv0.150,0.39,0.15
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.100 Facenet512opencv0.350,0.39,0.14
